sample_id,variety,vendor,test_type,result_value,result_unit,status,sample_date,technician,lot_number
SMP-0005,UNKNOWN,AgriTest Labs,Moisture,9.29,%,PASS,2024-06-21,R. Kim,LOT-2584
SMP-0033,SYN-404,SeedCheck Inc,Moisture,9.0,%,PASS,2024-09-05,R. Kim,LOT-1960
SMP-0114,SYN-404,CropVerify LLC,Vigor,84.43,%,PASS,2024-12-24,R. Kim,LOT-8172
SMP-0153,SYN-505,CropVerify LLC,Moisture,10.83,%,pending,2024-11-13,A. Patel,LOT-2035
SMP-0121,SYN-505,BioSeed QA,Vigor,93.25,%,PASS,2024-01-01,R. Kim,LOT-1888
SMP-0195,SYN-505,SeedCheck Inc,Germination,80.42,%,PASS,2024-02-28,M. Torres,LOT-6752
SMP-0115,SYN-303,CropVerify LLC,Germination,83.92,%,PASS,2024-08-09,J. Smith,LOT-2496
SMP-0011,SYN-505,SeedCheck Inc,Vigor,,%,,2024-11-23,M. Torres,LOT-1916
SMP-0063,SYN-404,SeedCheck Inc,Vigor,83.78,%,PASS,2024-09-18,J. Smith,LOT-5649
SMP-0149,SYN-202,CropVerify LLC,Purity,,%,PASS,2024-05-19,R. Kim,LOT-5835
SMP-0154,SYN-404,AgriTest Labs,Vigor,-0.56,%,PASS,2024-06-03,A. Patel,LOT-1742
SMP-0177,SYN-202,SeedCheck Inc,Purity,95.52,%,FAIL,2024-09-16,R. Kim,LOT-4674
SMP-0001,SYN-202,SeedCheck Inc,Germination,61.0,%,FAIL,2024-05-20,A. Patel,LOT-2679
SMP-0190,SYN-101,BioSeed QA,Disease Screening,,%,PASS,2024-06-30,J. Smith,LOT-8147
SMP-0185,SYN-303,SeedCheck Inc,Vigor,80.35,%,PASS,2024-07-31,J. Smith,LOT-6655
SMP-0071,SYN-303,BioSeed QA,Purity,98.76,%,PASS,2024-11-22,A. Patel,LOT-5499
SMP-0164,SYN-505,CropVerify LLC,Purity,98.95,%,PASS,2024-05-01,J. Smith,LOT-3854
SMP-0065,SYN-101,AgriTest Labs,Moisture,12.84,%,PASS,2024-03-16,A. Patel,LOT-8784
SMP-0045,SYN-303,SeedCheck Inc,Purity,96.41,%,,2024-04-17,M. Torres,LOT-9280
SMP-0138,SYN-101,CropVerify LLC,Moisture,12.16,%,PASS,2024-01-15,J. Smith,LOT-5806
SMP-0041,SYN-101,BioSeed QA,Purity,97.29,%,PASS,2024-02-07,J. Smith,
SMP-0124,SYN-202,CropVerify LLC,Disease Screening,4.0,%,PASS,2024-12-29,J. Smith,LOT-7684
SMP-0024,SYN-303,BioSeed QA,Moisture,12.28,%,PASS,2024-07-23,R. Kim,LOT-2982
SMP-0159,SYN-202,AgriTest Labs,Purity,95.3,%,FAIL,2024-05-21,R. Kim,LOT-2501
SMP-0155,SYN-101,,Germination,72.17,%,PASS,2024-09-09,A. Patel,LOT-9807
SMP-0082,SYN-101,AgriTest Labs,Moisture,11.9,%,PASS,2024-11-29,A. Patel,LOT-4266
SMP-0040,SYN-202,CropVerify LLC,Moisture,12.02,%,PASS,15/03/2024,R. Kim,LOT-3144
SMP-0178,SYN-303,AgriTest Labs,Germination,74.0,%,PASS,2024-10-11,M. Torres,LOT-4705
SMP-0048,SYN-202,AgriTest Labs,Disease Screening,0.05,%,FAIL,2024-02-08,M. Torres,LOT-3426
SMP-0095,SYN-404,BioSeed QA,Disease Screening,3.79,%,PASS,2024-12-19,R. Kim,LOT-1282
SMP-0162,SYN-101,CropVerify LLC,Purity,112.07,%,PASS,2024-11-01,A. Patel,LOT-3129
SMP-0044,SYN-303,AgriTest Labs,Germination,97.56,%,PASS,2024-03-09,J. Smith,LOT-3546
SMP-0146,SYN-202,CropVerify LLC,Disease Screening,4.01,%,PASS,2024-04-22,A. Patel,LOT-2591
SMP-0004,SYN-202,BioSeed QA,Vigor,79.46,%,PASS,2024-01-04,M. Torres,LOT-5552
SMP-0106,SYN-505,BioSeed QA,Germination,99.76,%,PASS,2024-03-01,A. Patel,LOT-9561
SMP-0054,SYN-202,BioSeed QA,Moisture,9.34,%,PASS,2024-12-03,M. Torres,LOT-5564
SMP-0134,SYN-202,BioSeed QA,Disease Screening,4.55,%,PASS,2024-01-08,A. Patel,
SMP-0191,SYN-303,BioSeed QA,Germination,78.39,%,PASS,2024-02-09,R. Kim,LOT-7843
SMP-0165,SYN-505,AgriTest Labs,Purity,95.26,%,FAIL,2024-08-03,J. Smith,LOT-8802
SMP-0196,SYN-303,SeedCheck Inc,Moisture,9.42,%,PASS,2024-03-15,A. Patel,LOT-3504
SMP-0050,SYN-505,BioSeed QA,Moisture,12.0,%,PASS,N/A,A. Patel,LOT-4878
SMP-0081,SYN-404,AgriTest Labs,Vigor,62.61,%,PASS,2024-02-11,J. Smith,LOT-6733
SMP-0035,SYN-202,SeedCheck Inc,Disease Screening,3.31,%,PASS,2024-09-06,M. Torres,LOT-4566
SMP-0008,SYN-303,AgriTest Labs,Germination,61.83,%,FAIL,2024-04-26,A. Patel,LOT-2654
SMP-0111,SYN-101,SeedCheck Inc,Purity,98.51,%,PASS,2024-08-20,M. Torres,LOT-4241
SMP-0092,SYN-303,AgriTest Labs,Disease Screening,3.05,%,PASS,2024-07-13,R. Kim,LOT-6325
SMP-0084,SYN-202,AgriTest Labs,Vigor,84.97,%,PASS,2024-07-07,A. Patel,LOT-6096
SMP-0187,SYN-101,AgriTest Labs,Moisture,10.37,%,PASS,2024-11-02,A. Patel,LOT-5938
SMP-0192,SYN-303,SeedCheck Inc,Purity,95.58,%,FAIL,2024-01-11,R. Kim,LOT-6928
SMP-0090,SYN-404,BioSeed QA,Purity,98.08,%,PASS,2024-10-02,R. Kim,LOT-5397
SMP-0009,SYN-303,SeedCheck Inc,Vigor,63.9,%,PASS,2024-11-21,M. Torres,LOT-6820
SMP-0014,SYN-505,CropVerify LLC,Moisture,117.59,%,PASS,2024-05-06,R. Kim,LOT-7543
SMP-0060,SYN-303,BioSeed QA,Disease Screening,1.55,%,PASS,2024-07-28,M. Torres,LOT-3085
SMP-0182,SYN-404,CropVerify LLC,Disease Screening,1.08,%,pending,2024-08-02,A. Patel,
SMP-0132,SYN-404,BioSeed QA,Germination,72.73,%,PASS,2024-08-30,A. Patel,LOT-9115
SMP-0018,SYN-101,CropVerify LLC,Purity,98.84,%,PASS,2024-06-23,R. Kim,LOT-3591
SMP-0167,SYN-505,CropVerify LLC,Moisture,,%,PASS,2024-01-23,R. Kim,LOT-1510
SMP-0073,SYN-202,BioSeed QA,Disease Screening,-4.68,%,FAIL,2024-03-18,A. Patel,LOT-4505
SMP-0186,SYN-505,BioSeed QA,Vigor,55.54,%,FAIL,2024-12-13,M. Torres,LOT-1744
SMP-0135,SYN-303,BioSeed QA,Vigor,89.08,%,PASS,2024-05-15,J. Smith,
SMP-0176,SYN-404,AgriTest Labs,Vigor,67.68,%,PASS,2024-12-06,M. Torres,LOT-6119
SMP-0194,SYN-303,SeedCheck Inc,Germination,75.83,%,PASS,2024-06-07,M. Torres,LOT-3754
SMP-0064,SYN-303,AgriTest Labs,Disease Screening,3.32,%,,2024-11-13,A. Patel,LOT-6085
SMP-0055,SYN-000,BioSeed QA,Germination,98.68,%,PASS,2024-05-22,M. Torres,LOT-1452
SMP-0108,SYN-202,SeedCheck Inc,Disease Screening,4.8,%,PASS,2024-02-20,M. Torres,LOT-2330
SMP-0051,SYN-404,AgriTest Labs,Moisture,13.86,%,PASS,2024-03-31,A. Patel,LOT-6442
SMP-0175,SYN-202,AgriTest Labs,Vigor,54.83,%,FAIL,2024-07-09,M. Torres,LOT-3002
SMP-0096,SYN-202,CropVerify LLC,Germination,71.77,%,PASS,2024-07-26,M. Torres,
SMP-0170,SYN-505,CropVerify LLC,Purity,98.12,%,pending,2024-10-26,R. Kim,LOT-9692
SMP-0059,SYN-505,CropVerify LLC,Germination,97.95,%,PASS,2024-06-18,J. Smith,LOT-5920
SMP-0049,SYN-303,AgriTest Labs,Vigor,,%,FAIL,2024-06-06,M. Torres,LOT-4441
SMP-0089,SYN-202,BioSeed QA,Purity,98.18,%,PASS,2024-08-23,A. Patel,LOT-9548
SMP-0022,SYN-404,AgriTest Labs,Disease Screening,4.73,%, FAIL,2024-02-13,A. Patel,LOT-3103
SMP-0058,SYN-101,SeedCheck Inc,Purity,95.22,%,FAIL,,M. Torres,LOT-8066
SMP-0161,SYN-101,SeedCheck Inc,Moisture,12.72,%,PASS,2024-04-15,A. Patel,LOT-4817
SMP-0035,SYN-202,SeedCheck Inc,Disease Screening,-3.37,%,PASS,2024-09-06,M. Torres,LOT-4566
SMP-0130,SYN-505,BioSeed QA,Vigor,67.26,%,,2024-10-09,R. Kim,LOT-6272
SMP-0038,SYN-202,BioSeed QA,Germination,83.8,%,PASS,2024-12-11,J. Smith,LOT-5033
SMP-0158,SYN-303,AgriTest Labs,Moisture,10.66,%,PASS,2024-04-30,M. Torres,LOT-9920
SMP-0199,SYN-101,CropVerify LLC,Disease Screening,106.4,%,FAIL,2024-09-16,R. Kim,LOT-8404
SMP-0002,SYN-101,AgriTest Labs,Disease Screening,0.43,%,FAIL,2024-08-04,J. Smith,LOT-4582
SMP-0053,SYN-202,BioSeed QA,Germination,94.34,%,PASS,2024-04-23,M. Torres,LOT-6000
SMP-0150,SYN-101,SeedCheck Inc,Purity,99.02,%,PASS,2024-08-27,A. Patel,LOT-7511
SMP-0131,SYN-505,BioSeed QA,Moisture,13.88,%,PASS,2024-05-02,A. Patel,LOT-7730
SMP-0152,SYN-303,BioSeed QA,Purity,98.36,%,PASS,2024-12-10,M. Torres,LOT-2775
SMP-0104,SYN-101,AgriTest Labs,Germination,70.1,%,PASS,2024-09-01,R. Kim,LOT-9056
SMP-0100,SYN-505,CropVerify LLC,Purity,102.8,%,PASS,2024-09-25,J. Smith,LOT-4180
SMP-0117,SYN-404,CropVerify LLC,Moisture,10.82,%,PASS,2024-11-29,A. Patel,LOT-8141
SMP-0088,???,BioSeed QA,Disease Screening,3.24,%,,2024-01-07,J. Smith,LOT-8102
SMP-0075,SYN-505,AgriTest Labs,Moisture,13.0,%,PASS,2024-07-18,R. Kim,LOT-8814
SMP-0122,SYN-404,,Moisture,11.11,%,PASS,2024-11-14,J. Smith,LOT-4335
SMP-0169,SYN-505,SeedCheck Inc,Germination,95.97,%,PASS,2024-06-13,J. Smith,LOT-3067
SMP-0021,SYN-303,SeedCheck Inc,Vigor,50.97,%,FAIL,2024-07-04,J. Smith,LOT-4946
SMP-0189,SYN-202,BioSeed QA,Vigor,87.35,%,PASS,2024-03-30,A. Patel,LOT-9196
SMP-0072,SYN-202,CropVerify LLC,Vigor,53.87,%,FAIL,2024-05-26,M. Torres,LOT-6238
SMP-0107,SYN-303,BioSeed QA,Vigor,72.53,%,PASS,2024-08-14,M. Torres,LOT-1986
SMP-0015,SYN-505,BioSeed QA,Purity,96.1,%,PASS,2024-03-11,J. Smith,LOT-1771
SMP-0093,SYN-999,CropVerify LLC,Moisture,10.93,%,PASS,2024-06-30,M. Torres,LOT-5526
SMP-0180,SYN-303,CropVerify LLC,Moisture,9.64,%,PASS,2024-06-07,J. Smith,LOT-3972
SMP-0103,SYN-404,BioSeed QA,Germination,82.96,%,PASS,2024-08-28,M. Torres,LOT-4020
